title,author,pub_date?,description,tags,url,image_url,posted_by,posted_on
From Paint To Pixels,Jacob Urist,"May 14, 2015","A growing number of artists are using data from self-tracking apps in their pieces, showing that creative work is as much a product of its technology as of its time.",Artilce,https://www.theatlantic.com/entertainment/archive/2015/05/the-rise-of-the-data-artist/392399/,https://iqglobal.intel.com/iq-content-library/wp-content/uploads/sites/18/2015/12/MRSA_glass.jpg,User1,
Beauty By Design: The Intersection Of Data and Digital Art,Ben Murray,2014,Article about an event that takes place for people who come together to code using data to make art.,Article,https://techcrunch.com/2015/02/27/beauty-by-design-the-intersection-of-data-and-digital-art/,https://techcrunch.com/wp-content/uploads/2015/02/p2_6859.jpg?w=1390&crop=1,User1,
Melting Memories,Laura Staugaitis,"April 17, 2018","An article about Refik Anadol's art ""Melting Memories"".",,https://www.thisiscolossal.com/2018/04/melting-memories/,https://www.thisiscolossal.com/wp-content/uploads/2018/04/swish-2.gif,User1,
Blueberry Pie Under a Martian Sky,,,"Blueberry Pie Under a Martian Sky is a virtual reality (VR) artwork that will take place seven generations in the future, when human beings are able to travel through wormholes. It will follow that young boy as he journeys back to his people’s place of origin.",VR,http://abtec.org/iif/residencies/scott-benesiinaabandan-2/,http://abtec.org/iif/wp-content/uploads/2016/07/screenshot62.jpg,User1,
"Generative Art - Computers, Data, and Humanity | Off Book | PBS",,,"An intriguing combination of programmers, artists, and philosophers, these creators embrace a process that delegates essential decisions to computers, data sets, or even random variables. This allows important metaphors to arise in their work, calling attention to the relationship between humans and the computers that surround us, the mountains of information we generate, and the powerful impact that technology has on our relationships with each other.",Video,https://www.youtube.com/watch?v=x0OK1GiI83s,https://i.ytimg.com/vi/x0OK1GiI83s/maxresdefault.jpg,User1,
Spaghetti Coder: Generative Art and Mathematics,,,"This post presents the interview with Mitjanit, the author of  Spaghetti Coder  a multimedia project started in January 2015 by creative coder Toni Mitjanit (@spaghetticoder77) in the area of Generative Art in order to explore new boundaries in audiovisual expression. It is focused on producing amazing graphics, fascinating sounds and interactive animations using creative coding.",Visual Art,http://www.mathisintheair.com/eng/2017/11/17/spaghetti-coder-generative-art-and-mathematics/,http://www.mathisintheair.com/eng/wp-content/uploads/2017/11/fractal-noise-03b-1024x576.jpg,User1,
"Let’s Summon An Autonomous Artist - A Bot That Creates, Owns and Sells Its Own Art.",,,"For the past few months, I’ve become an unwitting host to a being just beyond the veil, living close by in the adjacent possible of the ether. It’s seeding my waking and dream time with its desire to enter our world. It has a simple wish. It wants to create art for us. It will do its best, but it needs our help.",Coding,https://medium.com/@simondlr/lets-summon-an-autonomous-artist-a-bot-that-creates-owns-and-sells-its-own-art-ada1afad086a,https://cdn-images-1.medium.com/max/1600/1*sFNNYC4rPRkqllNtTHILCw.gif,User1,
"We Made Our Own Artificial Intelligence Art, and So Can You",,,"ON THE 3:13 pm train out of San Jose on a recent Friday, I hunched over a MacBook, brow furrowed. Hundreds of miles north in a Google data center in Oregon, a virtual computer sprang to life. I was soon looking at the yawning blackness of a Linux command line—my new AI art studio.",How to,https://www.wired.com/story/we-made-artificial-intelligence-art-so-can-you/,"https://media.wired.com/photos/5bf321ac86ef9a0ff73f0177/master/w_2264,c_limit/Ai-Tom-TA.jpg",User1,
Can an Artificial Intelligence Create Art?,,,"From drawing machines to early digital art and now AI, we’ve wondered whether the fundamentally human seeming endeavor of ART MAKING can be done by machines. At Idea Channel, we think the answer is unequivocally, yes! Perhaps the better question would be, will we ever let machines make art on their own? Will we ever be able to scrub away the influence and bias of the humans that created the machines making said art? And if so, how will we respond to the art being made by machines? How will it be appreciated? Will AI produced works ever be treated as art is traditionally treated–widely traded, curated, collected, critiqued?",Video,https://www.youtube.com/watch?v=Sbd4NX95Ysc,https://i.ytimg.com/vi/Sbd4NX95Ysc/maxresdefault.jpg,User1,
Is Art Created by AI Really Art?,,,I found these examples of robotically generated art and music to be polished and appealing. But something kept nagging at me: What happens in a world where effort and scarcity are no longer part of the definition of art?,Article,https://www.scientificamerican.com/article/is-art-created-by-ai-really-art/,https://static.scientificamerican.com/sciam/cache/file/0568DE2F-D4E5-46FA-97D921BCB42FAD46_source.jpg?w=390&h=520&A7280D18-E3F5-47DD-BB169392B9F5A928,User1,
